5, 0.8449
10, 0.9775
15, 0.9505
20, 0.9781
25, 0.9813
30, 0.9732
35, 0.9871
40, 0.9843
45, 0.9831
50, 0.9922
55, 0.9872
60, 0.9919
65, 0.9946
70, 0.994
75, 0.9849
80, 0.9744
85, 0.971
90, 0.9838
95, 0.996
100, 0.996
105, 0.9948
110, 0.9927
115, 0.9892
120, 0.9917
125, 0.9882
130, 0.9939
135, 0.999
140, 0.9981
145, 0.9966
150, 0.9866
155, 0.9995
160, 0.9964
165, 0.9934
170, 0.9977
175, 0.9914
180, 0.9868
185, 0.9987
190, 0.9919
195, 0.9971
200, 0.9999
205, 0.9875
210, 0.9946
215, 0.9985
220, 0.9909
225, 0.9889
230, 0.9999
235, 0.9983
240, 0.9994
245, 0.9968
250, 0.997
255, 0.9977
260, 0.9944
265, 0.9953
270, 0.9986
275, 0.9992
280, 0.9984
285, 0.9962
290, 0.9933
295, 0.9998
300, 0.9993
305, 0.9938
310, 0.9992
315, 0.9968
320, 0.9991
325, 0.9958
330, 0.9947
335, 0.9936
340, 0.998
345, 0.9957
350, 1.0
355, 0.9975
360, 0.9982
365, 0.9926
370, 0.998
375, 1.0
380, 0.9983
385, 0.9982
390, 0.9991
395, 0.998
400, 0.9929
405, 0.9956
410, 0.9965
415, 0.9969
420, 1.0
425, 1.0
430, 0.9988
435, 0.9816
440, 0.9992
445, 0.996
450, 0.9997
455, 0.9991
460, 0.9932
465, 0.9984
470, 0.9945
475, 0.9928
480, 0.9998
485, 0.9976
490, 0.9943
495, 0.9997
500, 0.9959
